INTENT_NAME,UTTERANCES
INFO_ADD_HOUSE,add a homeowners policy
INFO_ADD_HOUSE,I just bought a house and want to add it to the rest of my policies
INFO_ADD_HOUSE,How can I add my house to my existing policies
INFO_ADD_HOUSE,just purchased a house and need to add it to my other policies
INFO_ADD_HOUSE,I need to add a house to my policy
INFO_ADD_HOUSE,I already have policies with you and want to get homeowners insurance
INFO_ADD_REMOVE_INSURED,get my kid off my car policy
INFO_ADD_REMOVE_INSURED,remove everyone but me from my policy
INFO_ADD_REMOVE_INSURED,I no longer want Tom on my policy
INFO_ADD_REMOVE_INSURED,Remove my wife as a driver for my new car
INFO_ADD_REMOVE_INSURED,i need to add someone to my current policy
INFO_ADD_REMOVE_INSURED,If I add a driver to my account do they need their own car
INFO_ADD_REMOVE_INSURED,Could you inform me as to how to take a name off of my family insurance policy
INFO_ADD_REMOVE_INSURED,Is it possible to delete somebody from my auto Policy
INFO_ADD_REMOVE_INSURED,How can I get rid of my mom from policy
INFO_ADD_REMOVE_INSURED,I need one more drivers name from my family to be introduced in my auto policy
INFO_ADD_REMOVE_INSURED,Can I remove my child from my auto policy
INFO_ADD_REMOVE_INSURED,I need my son to be removed from our account
INFO_ADD_REMOVE_INSURED,How can I get rid of someone on my car insurance
INFO_ADD_REMOVE_INSURED,Take my exwife off my auto policy
INFO_ADD_REMOVE_INSURED,Please help me take my ex wife off of my auto policy
INFO_ADD_REMOVE_INSURED,Please help me remove my dad off my auto policy
INFO_ADD_REMOVE_INSURED,My divorce case is filed and would to remove my wife from the auto policy kindly do the needful
INFO_ADD_REMOVE_INSURED,remove my exhusband from my auto policy
INFO_ADD_REMOVE_INSURED,My daughter passed away remove her from my auto policy
INFO_ADD_REMOVE_INSURED,Can you remove Sandra by the th I have given her permission to drive the car until then
INFO_ADD_REMOVE_INSURED,I want to remove somebody from my auto policy
INFO_ADD_REMOVE_INSURED,I need to remove my son from my auto policy
INFO_ADD_REMOVE_INSURED,could you show me how i can add more people to my insurance
INFO_ADD_REMOVE_INSURED,I need to remove my daughter and replace with my daughterinlaw
INFO_ADD_REMOVE_INSURED,I need my family to be covered in my insurance
INFO_ADD_REMOVE_INSURED,I want to remove my daughter as a driver for my new car
INFO_ADD_REMOVE_INSURED,My father asked me to remove him from the auto policy
INFO_ADD_REMOVE_INSURED,Change the driver on my auto policy
INFO_ADD_REMOVE_INSURED,remove my daughter from my insurance policy
INFO_ADD_REMOVE_INSURED,I want to change the number of people covered by my insurance policy
INFO_ADD_REMOVE_INSURED,My son has shifted to new work place and does not live with me currently kindly remove his name from the auto policy
INFO_ADD_REMOVE_INSURED,Add my wifes name to my Auto Policy
INFO_ADD_REMOVE_INSURED,Please make the necessary deletions in my auto policy coverage
INFO_ADD_REMOVE_INSURED,Remove my kids from my policy
INFO_ADD_REMOVE_INSURED,Who do I need to call to get someone added to my car insurance
INFO_ADD_REMOVE_INSURED,Hello My oldest child has her license now
INFO_ADD_REMOVE_INSURED,My wife passed away how can i remove her from my policy
INFO_ADD_REMOVE_INSURED,Is the current Policy valid even when I add or delete someone from the Policy
INFO_ADD_REMOVE_INSURED,can I remove wife from my policy
INFO_ADD_REMOVE_INSURED,please show me how to add a driver to my policy
INFO_ADD_REMOVE_INSURED,I need to update my auto policy with my daughters name
INFO_ADD_REMOVE_INSURED,take my sister off of my auto policy
INFO_ADD_REMOVE_INSURED,How can I take my girlfriend off my car insurance policy
INFO_ADD_REMOVE_INSURED,Remove mom from my auto policy
INFO_ADD_REMOVE_INSURED,I have a change to my covered driver list
INFO_ADD_REMOVE_INSURED,where can i manage drivers of my auto insurance
INFO_ADD_REMOVE_INSURED,I need to remove my daughter from her policy as she now has her own
INFO_ADD_REMOVE_INSURED,I want to reduce the number of people on my auto policy
INFO_ADD_REMOVE_INSURED,my son is too stupid to drive my car please remove him from the auto policy
INFO_ADD_REMOVE_INSURED,I need to get my exhusbands off of my auto policy
INFO_ADD_REMOVE_INSURED,I need to add my daughters name to my auto policy
INFO_ADD_REMOVE_INSURED,Please update my auto policy with my daughters name
INFO_ADD_REMOVE_INSURED,remove my exwife from my auto policy
INFO_ADD_REMOVE_INSURED,I need to take sister off policy
INFO_ADD_REMOVE_INSURED,Please delete the other person on my policy coverage
INFO_ADD_REMOVE_INSURED,add my husband as a driver on my new car
INFO_ADD_REMOVE_INSURED,Remove my Dad from my auto policy
INFO_ADD_REMOVE_INSURED,I have added my wifes name to my policy how long it will take
INFO_ADD_REMOVE_INSURED,i want to add my spouse
INFO_ADD_REMOVE_INSURED,is there any age limit to new drivers i can add to my auto insurance
INFO_ADD_REMOVE_INSURED,i want to update the person name details in my exsiting policy
INFO_ADD_REMOVE_INSURED,how much would i save to remove this car
INFO_ADD_REMOVE_INSURED,Remove my wife from my new cars policy
INFO_ADD_REMOVE_INSURED,add my wife as a driver for my new car
INFO_ADD_REMOVE_INSURED,take my daughter off my policy
INFO_ADD_REMOVE_INSURED,Remove a driver from my Auto Policy
INFO_ADD_REMOVE_INSURED,What is the rule if I want to remove or add someones name in my auto policy
INFO_ADD_REMOVE_INSURED,My policy coverage needs to edited to delete my sons name
INFO_ADD_REMOVE_INSURED,I no longer need my daughter on my auto policy
INFO_ADD_REMOVE_INSURED,my wife no longer drives how can i remove her
INFO_ADD_REMOVE_INSURED,How do I get a person off of my insurance policy
INFO_ADD_REMOVE_INSURED,Please help me update my policy to have one driver removed
INFO_ADD_REMOVE_INSURED,add insured to policy
INFO_ADD_REMOVE_INSURED,I wife passed away and is no longer in this world so kindly remove her name from the auto policy
INFO_ADD_REMOVE_INSURED,I have to take a user off of my auto policy
INFO_ADD_REMOVE_INSURED,My wife has purchased her own car now so she need not be a part of this auto policy now kindly remove her
INFO_ADD_REMOVE_INSURED,id like to remove a child from my policy
INFO_ADD_REMOVE_INSURED,how do I update who is covered in my policy
INFO_ADD_REMOVE_INSURED,how do i add a family member
INFO_ADD_REMOVE_INSURED,Edit my auto policy drivers
INFO_ADD_REMOVE_INSURED,Please tell me how to remove an individual from my insurance
INFO_ADD_REMOVE_INSURED,How do I take my mom off of my auto policy
INFO_ADD_REMOVE_INSURED,My son is going for higher education to aboard for more than  years so kindly remove his name from the auto policy
INFO_ADD_REMOVE_INSURED,add my son as a driver on my new car
INFO_ADD_REMOVE_INSURED,Can you help me remove Max from my policy
INFO_ADD_REMOVE_INSURED,kindly tel me the steps for removeing person from my exsiting policy
INFO_ADD_REMOVE_INSURED,Can I change the drivers on my policies
INFO_ADD_REMOVE_INSURED,how do I add a driver to my policy
INFO_ADD_REMOVE_INSURED,I want to remove someone from my car policy as they will not be driving my vehicle anymore
INFO_ADD_REMOVE_INSURED,Please describe the procedure of removing someone from my insurance policy
INFO_ADD_REMOVE_INSURED,remove my stepdaughter as a driver on my van
INFO_ADD_REMOVE_INSURED,My son is married now and i would like to add my daughter in law in this auto policy is it possible
INFO_ADD_REMOVE_INSURED,I no longer want my daughter on my auto policy
INFO_ADD_REMOVE_INSURED,whats the impact on the bill by adding or removing drivers
INFO_ADD_REMOVE_INSURED,Please delete my son from my car policy
INFO_ADD_REMOVE_INSURED,Whats the process to add my daughter to my auto policy
INFO_ADD_REMOVE_INSURED,Please remove my daughter from my auto policy and create a separate one for her
INFO_ADD_REMOVE_INSURED,I want to remove a person from my auto policy
